content,score
Desde que comecei a morar sozinho tenho feito quase todas as minhas compras de livros online pela Amazon. Adoro o catálogo presente no serviço e também gosto bastante do atendimento. O único problema que eu tenho com o aplicativo é que ele tem umas travadinhas de hora ou outra. Também acho que toda a experiência no aplicativo deveria mais fácil e suave. É como se tivesse usando uma versão do site para navegadores em PC mau adaptada para Smartphones.,4
"É a plataforma onde mais efetuo compras, pela qualidade dos produtos, pela agilidade das entregas, muitos produtos com preços assesiveis, tem de tudo e principalmente porque é entregue através de transportadoras, não gosto pelo correio porque já tive problemas e com isso, tive que ir buscar no centro de distribuição, eles dizem que foi na casa da pessoa, colocam no sistema quando na verdade nem pisaram no endereço, 95% das entregas da shopee são pelas transportadoras, minha plataforma preferida.",5
"A entrega de algumas mercadorias estão péssima. Eles ficam com preguiça de procurar o endereço, n liga para o cliente e a mercadoria acaba voltando, isso é absurdo, pra q tem nosso contato? Aí fica postando no app q fez tentativas de entrega sendo mentira. Os outros entregadores acham meu endereço de boa, até pq é um lugar bem fácil, só alguns engraçadinhos q n. Revejam seus entregadores., q tem uns q são ótimos, mais outros péssimo, sem vontade nenhuma de trabalhar. Revoltante isso.",1
"Eu acho frete muito caro quando não é grátis, a concorrência está superando, já fiz uma compra full que quando chegou no correio perto da minha casa devolveram sem explicação, me pareceu um rastreamento fake, veio muito rápido e voltou, pra ter benefício tem que comprar muito, isso desmotiva, não consigo excluir favoritos, os cupons é para quem compra produto caro, querem imitar o Shoppe, mas tá difícil de superar!",2
"É os melhores preços (no momento) em livros e e-book. Infelizmente, alguns preços estão melhor que os preços das editoras, mas em fim (outros processos/reflexões). Aplicativo excelente também para comprar objetos decorativos. Porém, tive que realizar uma limpeza no celular e apaguei o app e quando baixei o app novamente e tentei acessar minha conta, deu erro e não consigo acessar pelo app mais. Apenas, pelo notebook.",3
"Muito bom! Porém, muita taxação, adicionei três itens no meu carrinho fui finalizar e deu quase o triplo só de impostos... Mais tirando isso o APP é muito bom recomendo bastante 👍 Se não fosse essa taxa ele seria perfeito!",2
"Mercado livre, já foi bom. Não entrega mais no prazo e demora demais para entregar. Marca o dia e no dia não entrega, não dá satisfação. Se a demanda está grande, não deem ao cliente prazo que não podem cumprir. Hoje passei o dia em casa esperando, é o último dia de prazo para entrega e nada. Se meu produto não chegar vou pedir reembolso e desinstalo esse app . Agora o pagamento tem que ser já. E nenhum canal com a entrega, rastreio parado. Péssimo.",2
"Parece o M Livre. Publicam o mesmo produto com inúmeros preços diferentes. Você precisa ficar pesquisando para não pagar caro. O prazer da compra se torna um tormento. A única vantagem é a diversidade de mercadorias. A entrega não poderia ser pior, é pelos Correios! Se encontro na Shein, esta fica sendo minha opção. Entrega sempre rápida.",1
"Até agora tá tudo ok,compras otimas são entregues perfeitamente,estou bem feliz pois os produtos chegam rápido e em ótimo estado, acredite gente e a ,melhor loja, ótima qualidade vocês só encontram aqui na shein com entregas fora e dentro do brasil em todo país,eu já pedi o meu agora só falta vocês pessoal,( quando penso em competência, automaticamente penso em shein. seu desempenho é verdadeiramente excepcional e o seu trabalho é excelente.) parabéns pelo excelente desempenho, muito obrigada...",5
"Fingem que tem desconto nos produtos, fingem que darão presentes grátis com a ""farmland"" mas isso não acontece. Em relação aos produtos que comprei chegaram e em bom estado. Mas não caiam na falácia de cupons.",2
"Já foi melhor ,antes o cupom de desconto entrava na finalização da compra ,agora tem que colocar um código que está escondido e não acho ,e não estou conseguindo nenhum desconto aí fica difícil comprar .",4
"gosto muito do app da Temu. Porém só dei 3 estrelas pois existem alguns defeitos e melhorias que devem ser feitas no app. Eu mesmo, no mês passado tive que cancelar 6 compras pois eu as dividia em 6× sem juros como o próprio app oferecia mas, no meu cartão de crédito as compras eram lançadas à vista. Outra coisa; a Temu poderia nos dar benefícios para avaliar as compras feitas, assim como a shopee, que tem um programa de estrelas que ganhamos ao avaliar os produtos e ganhar descontos futuros.",3
"O app é maravilhoso e muito simples de usar, eu amo. Mas recentemente tem tido um bug muito chato onde os nomes das funções e configurações não aparecem por completo e eu tenho que tentar adivinhar qual é aquela função. Só aparece uma parte do nome, e se a função tem mais de um nome, só o primeiro aparece. É estressante demais. Espero que arrumem logo pq se não vou voltar a usar o site e desinstalar o app.",3
"Precisam melhorar e muito; por exemplo, quando vocês dão um determinado desconto, enfiam a faca em nós, no momento do pagamento; poi, aquilo quê pensávamos quê ganharíamos de desconto, vamos pagar o triplo,no mínimo, no momento de fechar a forma de pagamento, ou seja, se parcelamos a compra, já não se tem mais nenhuma vantagem. Esses descontos do mercado livre é Pura ENGANAÇAO!",3
"Deixou de ser uma plataforma de venda boa pros compradores. Já vi anúncios enganosos que quando abrem ficam mais caros, já vi anunciando ser frete grátis e quando abre o item não é frete grátis. Eu já indiquei muito mercado livre, hoje não indico e nem compro mais. Prefiro a shopee!",1
"A equipe do MercadoLivre tem mim ajudado muito com algumas compras que vieram errado , sempre gostei de usar o aplicativo. Porém notei que o mercado livre tirou a opção de frete grátis a partir de 90,00 e 80,00 , passei de nível para o especialista, mais o frete continua gratis a partir de 120,00. Acho isso errado, fiquei tão anciosa pra subir de nível e agora descubro que a política de frete grátis e o mesmo para qualquer nível, agora já não acho mais vantagem..",4
"Um ótimo Marketplace, já foi melhor em questão cupom de frete grátis e parcelamento sem juros, antes dava pra parcelar em até 6 vezes sem juros aí baixaram para 3 vezes, e agora tem produtos que dá para passar somente em 2 vezes, se eles mudarem para 6 vezes o parcelamento sem juros, eu aumentarei minha avaliação para 5 estrelas.",4
"Totalmente decepcionado com a Amazon, já é a segunda vez que o meu pedido não vem na data informada. Promete chegar em um dia chega três dias depois.",3
"Honestamente, o único motivo pelo qual eu ainda uso o aplicativo, é por conta dos itens grátis que os dois joguinhos proporcionam para nós. É demorado? Sim. Tem que ter paciência? Sim. Mas, ao mesmo tempo a oferta é generosa, os itens chegam certinho e a entrega é rápida. Outra coisa: Acho desnecessário a obrigação do usuário ter que fazer uma compra ACIMA de R$99,00, caso contrário, não pode encomendar. No geral, é um bom aplicativo, ou os itens são extremamente baratos ou caros, mas são pftos!",4
"A minha experiência com o aplicativo do ML tem sido ótima. O meu grande problema é com o próprio Mercado Livre. A cobrança de frete é extremamente cara. Hoje, por exemplo, eu encomendei quatro produtos pequenos, sendo que três eram do mesmo vendedor (3 batons). Eu tive que pagar quase 70 reais, só de frete. Eu acho isso um absurdo. Todas as vezes que compro alguma coisa no Mercado Livre, eu me sinto lesada...",3
"Tem muito para melhorar. Gostaria muito de assinar a Amazon ou até mesmo Amazon prime mas infelizmente não aceitam cartão de débito, muito menos a opção de pagamento no boleto ou algo parecido. EU COMPRO E PAGO TUDO NO DÉBITO. Poxa, nem todo mundo tem a opção ou condição de ter um cartão de crédito e por conta disso cancelei minha conta. Fora os bugs do app e no site; as vezes não carrega, trava, não pesquisa... Enfim quem sabe quando isso for resolvido mudo de idéia.",2
"O aplicativo em si é muito bom! Preços aceitáveis, uma variedade muito grande de itens e de vez em quando os produtos chegam antes do prazo. Meu único ponto negativo é que ao pagar no boleto, muitas vezes no tempo do boleto ser debitado no mercado livre (que demora +/- 1 dia) muitas vezes o produto que você comprou pode ser cancelado. E aí é bem chatinho ter que pegar o dinheiro de volta pelo mercado pago pra poder comprar o item novamente (e correndo o risco de ter que pagar mais caro)",4
"O melhor atendimento de todos sim, app super organizado e com boas promoções quase sempre",5
"Muito bom! Não é perfeito, mas se adequa justamente ao que preciso. Tem boas ofertas e produtos. No entanto, o mercado tem subido bastante os preços de eletrônicos e aparelhos de informática, principalmente os componentes para um pc! Eu gostaria de ver mais promoções e preços mais acessíveis. Ainda há muitas ofertas falsas e pequenos problemas no app, tirando esses fatores, ele atende bem!",4
"Simplesmente horrível, o suporte do app é como se não fosse nada, antendimento por email são péssimos, e eu fui simplesmente roubado, quando cancelei um pedido, o pedido foi cancelado e não recebi nenhum email falando sobre o cancelamento da compra, e muito menos o extorno do valor pago que foi quase 500 reais, não recomendo fazer compras nesse app pois só vão passar dor de cabeça. Dei uma estrela porque não tem como dar zero, simplesmente horrível.",1
"Estou gostando muito da Shoppe! Já fiz diversas compras e com as funções de olhar os comentários e descrição pude pesquisar para fazer as melhores escolhas. Não tive nenhum problema até agora, nem com o App nem com o rastreio e entrega. Entro todo dia para garantir minhas moedinhas, com elas e os cupons que consigo, tenho tido bons descontos! Estou muito satisfeita 😌",5
"Ele éum app muito bom, mas deixou a desejar na hora da assinatura de um mês grátis no Kindle.Assinei ele, sumiu a inscrição e foi como se não tivesse dado certo, mas ele vem sempre cobrando no cartão. Toda vez que entro no site pra ver se realmente não me enganei e se não tem realmente uma assinatura, eu vou lá olhar e não tem nada, mas continua cobrando. Se vocês puderem me ajudar com esse acontecido, já agradeço desde já",1
"Minha primeira experiência na plataforma foi péssima. Pois, fraudaram meu limite no cartão informando que a compra do produto havia sido concluída e quando me dei conta! Acessaram meus dados se passando pela plataforma! Experiência horrível e agora a plataforma não quer ressarcir o Valor utilizado, estando ciente que não fui eu que utilizei o crédito! Péssima experiência mesmo!",1
O app e muito bom mais tem um problema comprei dois itens de cores diferentes quando chegou os itens era de tamanho pequeno e da mesma cor,2
Acho que os produtos alteram muito de preço e as taxas são muito altas! Poderia comprar mais se não houvesse isso!,3
"sou pessoa cega, e ao abrir o aplicativo do mercadolivre com uso do leitor de telas para android, para tentar buscar um produto, percebi que os rótulos estão todos desconfigurados para leitor de telas, um grande absurdo. e agora não sei o que vou fazer porque se o leitor de telas não consegue reconhecer o produto que eu estou selecionando por causa que ele não consegue identificar o rótulo, então isso me atrapalha.",1
"Tenho o app há anos ,porém as entregas estão deixando muuuito a desejar,o atendimento da shopee em si é bom,os preços também são bons,porém as entregas estão cada vez piores,jogam os produtos pelo muro,perdem o produto,falam que ouve tentativa de entrega sendo que não ouve ,enfim ,está ficando complicado,espero que consigam realmente resolver isso .",3
"Quando a plataforma chegou ao Brasil, julguei que seria excelente concorrente no país. Gosto dos produtos, mas infelizmente há um valor mínimo para os pedidos. Nunca tive problemas com os mesmos, alguns, até chegaram antes do prazo. Em contrapartida, sugerem a participação em um jogo que dificilmente se ganha algo. Quando obtive 98% simplesmente ""sumiu"" e precisei recomeçar. Agora faltam 2% novamente, mas é 2025 e fiz o propósito de não mais ""perder tempo"" com algo incerto. A Temu deve melhorar.",3
"tá deixando a desejar ultimamente, principalmente nas entregas. Faz com que eu pague uma taxa para o produto chegar na casa em um certo dia e o produto vai chegar 2 ou 3 dias depois da data de entrega. Ultimamente só tenho cancelado as comprar que tenho feito por conta disso",2
"Gostei muito do App. tudo o que comprei chegou direitinho e antes do prazo. Os produtos são muito interessantes, não se vê em outros App de compras.",5
"O app é muito bom, tem bastante variedade e as peças são de ótima qualidade. A maioria dos produtos tem Avaliações com fotos reais tornando a compra mais segura. Produtos diferenciados e originais. Sempre consigo frete grátis e algum cupom de desconto. Meu único contra é que poderia dividir em mais vezes sem juros, pois tem peças que o valor é mais alto e as vezes pode pesar no bolso. Já fiz várias compras, todas chegaram perfeitamente e dentro do prazo. Recomendo muito!",5
"Você faz um pedido, e o aplicativo separa em vários pedidos, tornando tudo mais confuso. O banco autoriza o pagamento e o aplicativo diz que não foi autorizado. Os e-mails das compras não possuem informação nenhuma sobre o pedido, contendo apenas um link para abrir o app, que muitas vezes não funciona. A busca, os filtros e as promoções funcionam muito mal.",2
"Este mercado livre não devolve imediatamente o dinheiro, ao inves de voltar o dinheiro para o cartao de credito, enviou o pagamento para o app Mercado Pago! ABSURDO. Este app.PAGO dificulta o resgate, pede varias vezes para tirar foto do documento, reinicia varias vezes o link, e leva ao cansaço de resgatar o que já deveria ter sido devolvido na hora, vendedor sem estoque, a compra não foi feita, ficou mais de uma semana com o dinheiro. tenho receio de fazer nova compra. Descepcionada!",2
"O appe do mercado livre é seguro, entrega as mercadorias no prazo, as vezes até antes do dia programado. Sempre comprei pelo mercado livre e nunca tive problemas, espero nunca o ter. Indico para muitas pessoas.",5
"Bom. O problema é que o app está instável recentemente. Eu cliquei em ver mais detalhes da minha compra e ele vive me dizendo que não há internet, quando, se eu pesquisar o mesmo produto na barra de pesquisa ele aparece. Uma vez tentei preencher meus dados de validação e ele ficou carregando e me colocando de volta pra tela inicial. Bem frustrante.",4
Isso é só mentira já tentei várias vezes i não ganhei nada se fosse verdade quando eu escolhesse os 3 itens já finalizava mais não vai escolhendo e vai aumentando o valor e não conclui,3
"A única coisa que não gosto na shein, é a imagem enganadora que fazem com os preços, a shein não fazia isso antes, enganam com imagens e depois vamos ver mais detalhamente e nada a haver com o preço que está na imagem! Mas fora isso tem bons preços atrativos quando fazem promoções.",3
"O tal do Meli+ trás bem poucas vantagens, o frete grátis é muito raro, no máximo um desconto que não dá nem pra saber se foi real ou vc só está pagando o frete normal. Os cupons de desconto raramente se aplicam nas suas compras, enfim acho que termina não valendo a pena e olhe que faço compras todos os meses, estou sempre comprando alguma coisa e não tenho nenhuma benefícios",1
"Promoção do kct, me pegou de jeito. Era escolher 3 produtos, 100% gratis, assim até 💉 na testa.🤭 Mas, tinha o famoso mas.. também escolher mais 3 produtos onde o valor total deles, seria dado de 🎁 em cupom! Pensei legal, outra 💉🤪. Após finalizar feliz🥳 aparece a 💩 do cupom.. São vários cupons de 10,15,20.. para compras acima de x..👶🤡. Dica para os outros 🦆, nessa parte escolham algo bem baratinho, assim a promoção será bem vantajosa. Vou reavaliar quando chegar os produtos, até lá 3⭐",3
"Gostei das novas formas de pagamento e estou começando a usar o Mercado de Crédito. Mas ja houve um extorno incompleto, por falta de produtos,ainda assim terei que pagar os boletos e aparentemente nao vou receber o valor do juros cobrados no parcelamento. Estou aguardando o vencimento para ver o que virá. Conforme for volto para avaliar. Por enquanto SÓ três estrelas.😑",3
"Eu gosto da SHEIN pq tem roupas muito lindas, mas os preços não são acessíveis. Algumas blusinhas custam R$50, o que já é alto para peças simples e com tecidos básicos. Além disso, os impostos encarecem ainda mais. A maioria das roupas custa em torno de R$100, o que torna difícil realizar compras. Eu acabei desistindo de comprar uma blusa por causa disso. Na Shopee, tive uma experiência parecida ao tentar comprar uma saia de outra loja internacional, e o preço final ficou muito alto.",2
"Estava muiyo feliz em usar este app , comprei muito por ele , até do nada bloquearem os meus cartões no app e me deixaram sem opção de pagamento com cartões de crédito, obrigando-me a pagar com Pix e opções que não existiam até o momento como sp parcelado e shopee pay... Enviei uma solicitação de esclarecimento que não foi convincente e por isso vou encerrar minha conta e desinstalar o app, pois estou decepcionado após ter sido cliente assídua durante alguns anos...",1
"Comprei presentes e foi entregue perfeitamente , muito lindos e entrega rápida só que quero colocar meu endereço para comprar pra mim e não consigo mudar o endereço padrão tá difícil já cancelei vário carrinhos.",4
"O aplicativo da shopee é bom é legal ! As entregas vem tudo perfeito, porém os meios de pagamentos não são tão eficientes ! Poderia ter opção dupla ao pagar por um produto, por ex: Pix e cartão de crédito. Obs: caso vocês ver por favor façam isso vai mudar totalmente o aplicativo e as vendas vai fluir mais melhor !",3
"Médio, caiu. a quantidade, muito pesado! Outra reclamação é, na parte de devolução de produtos, não consigo enviar os produtos separados, ou seja: comprei 3 produtos que vem juntos no anúncio, porém só uma dos produtos veio com defeito, não tem a opção de enviar apenas um, sendo que os outros dois não estã com defeito, daí, agente já utilizou os outros produtos e não está com defeito, e na hora de devolver o produto com defeito, o sistema entende que é os três, pocha ML,resolve isto,tá chato😡!",3
"O app não está funcionando, já fiz tudo o que é possível, na hora de pagar por uma conta via pix, da erro 111. Solicito exclusão da conta, aí tenho ainda 0,14 no shoppay, na hora de retirar o valor, trava e não vai pra frente. Enfim, tá horrível 😕",1
"Sempre pedia na shein aí vinha tudo certo,mas teve 2 vezes q eu pedi os meus pedidos vieram tudo trocado,e ainda por cima nunca devolveram o reembolso da minha encomenda, sinceramente uma falta de atenção que os funcionários da shein não teve,eu espero que esse comentário possa te ajudar a não cair no golpe,como eu cai.",3
"O app é ótimo, layout interessante, além das promoções, preços e cupons. A revisão das clientes é muito importante, dá mais segurança quanto a qualidade das peças. Em minha primeira compra, me surpreendi positivamente. Gostei de todas as peças, embora tenha errado no pedido do tamanho de uma. Fora o fato dos Correios não entregarem em casa, o serviço é próximo da perfeição! 👏🏼😉",5
Não consigo fazer login no Windows. Nenhuma opção sugerida funciona. O help do celular das as mesmas opções em loop e não encaminha para uma pessoa atender... simplesmente não funciona e não existe opção de atendimento..,1
"Site mentiroso onde muitos produtos são anunciados com frete grátis e na hora de concluir a compra, do nada aparece a taxa de entrega. Outro problema está nas configurações, mesmo silenciando todas as notificações, elas continuam aparecendo. Desinstalando em 3, 2,1.... Ficarei só com a Shopee mesmo.",1
"Meu produto ficou preso na alfândega, pois a autoridade aduaneira estava solicitando um simples comprovante de pagamento! Mesmo após milhares de tentativas de explicar para a Shopee resolver algo tão simples, fiquei sem receber meu produto, fora que me reembolsam apenas parte do valor, pq informa que não devolveriam os impostos! Nisso levei um tempo de 200 reais! NUNCA MAIS IREI USAR ESSA PLATAFORMA!!!!",1
"Ótimo aplicativo para compras! A Shopee oferece uma grande variedade de produtos com preços acessíveis e promoções incríveis. A interface é fácil de usar, o rastreamento dos pedidos é eficiente, e o sistema de cupons e frete grátis é um diferencial. Nunca tive problemas com minhas compras, e o atendimento ao cliente é rápido e prestativo. Recomendo para quem gosta de praticidade e economia!",5
"A shopee têm melhorado constantemente, especialmente com relação as entregas que estão cada vez mais rápida. Aqui tenho tudo o que preciso na palma da mão, facilidade para pagar qualidade e agilidade na entrega. Só tive problema uma vez, mas fui reembolsada após apresentar os prints. Fiquei mais de um ano sem comprar de novo, mas decidi dar outro voto de confiança e tenho sido surpreendida de forma muito positiva. Recomendo!",5
"Ele é ótimo. Existem variados itens. Só que na primeiros vez que baixei, quando fui finalizar minha compra, não tinha opção de pagar com boleto. Estava somente na opção de pagar com cartão. E vi que com as outras pessoas o App tinha outras opções de pagamento como: cartão, boleto, e pix. No meu celular não tinha isso! Então não pude fazer nehuma compra...",3
"App é bom, mas tem q tomar muito cuidado, pois sua compra pode ser concluída sem vc querer, e ainda tem a venda casada, vc assina a Amazon prime se não tomar cuidado. Isso deixa a desejar muito.",2
"Site altamente confiável. Produtos confiáveis, ou devolução garantida. Já fiz várias compras e não me arrependo. Mas atenção: Leia sempre antes as informações, detalhes e especificações dos produtos. Tem pegadinha de algum vendedor sim. Abra o olho na h de escolher os produtos. Detalhe, o site promete muito desconto e bônus grátis. Não acredite. Use o site apenas p as compras de produtos do seu interesse. Qnto aos Valores, eles eram excelentes, mas agora os homens lá de Brasília avacalharam.",5
"O app é ótimo! Tudo muito bom, desde os preços até a variedade de produtos! Só uma sugestão: dêem a opção para o usuário mudar o tema para um modo escuro para a noite. *adendo: uma coisa que me frusta muito é quando no anúncio está dizendo que o frete é grátis mas quando você vai fazer a compra não tem nada de frete grátis. Isso é algo bem chato e desnecessário!",4
"Galera, o aplicativo é ótimo, preços bons, muitos cupons e preços baixos, porém NÃO COMPREM NADA INTERNACIONAL, SÓ NACIONAL, existem taxas de alfândegas e o valor pode até triplicar, tomem cuidado, não comprem por comprar",5
"Até o momento não tenho o que reclamar. Comprei um redmi note 7 que apresentou problemas depois de 2 meses..imediatamente me mandaram um selo pra reenviar o celular e fui ressarcida,tanto é que comprei outro celular depois. Loja perfeita! Excelente em atender o consumidor,tem respeito por cada um, tem a minha admiração e recomendação!",5
"App ótimo em quase todas as funcionalidades, só acho que falta adicionar uma forma de baixar os boletos dos pedidos pelo smartphone(até agora só consigo fazer pela versão web no pc) e um modo escuro/noturno.",4
Ótimo para fazer compras com segurança. Creio que seria ainda melhor se tivesse o modo noturno.,5
"App excelente. Ser cliente prime compensa demais: muitas ofertas, entrega expressa grátis em quase tudo. Porém acho o sistema de busca um pouco limitado e a lista de desejos que é uma das funções mais interessantes trava muito e não permite que selecione a prioridade dos produtos. Por fim deixo como sugestão recompensar as avaliações mais marcadas como úteis porque tem muita gente que se dedica na descrição do produtos. Para mim elas são muito importantes e até um diferencial na hora de comprar.",4
"Estou muito insatisfeita, recebi produto com embalagem duvidosa, produto errado, produto que não estava funcionando, etc; solicitei reembolso, gravei vídeo e/ou tirei fotos para comprovar as evidências dos produtos em desacordo com os pedidos, levei até uma agência para a devolução, estou esperando a chegada dos produtos para acontecer o reembolso: conclusão: fiquei sem os produtos selecionados,esperando a devolução do $ e, ainda fui penalizada: estou com saldo negativo em moedas",2
"As ofertas relâmpagos e live é uma enganação só,os preços são os mesmo e as vezes até maior,hoje mesmo uma máquina de costura estava um valor e na oferta relâmpago bem mais cara que o valor normal,daí na descrição colocam o preço lá em cima como se a da oferta estivesse mesmo em conta,mas como ficou monitorando quando quero comprar,a mim não engana.",2
"Eu comprei bastante coisas na shein como duas saias e bota, calças e tudo veio certinho menos os meus brincos que não chegaram passou da data prevista e eu reclamei e não resolveu, só quando apareceu uma mensagem que eles simplesmente estragaram a minha encomenda que eles quiseram devolver o meu dinheiro, mais sinceramente eles devolveram só uma parte do dinheiro o frete eles não devolveram, eu achei isso um absurdo tanto com a trasportadora que é um lixo não entrega as encomendas",3
"Prós - Comparado ao aplicativo das concorrentes é de longe o melhor. Leve, intuitivo, as palavras chave costumam funcionar, mas às vezes aparece umas opções nada a ver com o que foi pesquisado. Contras - Se monto uma lista de desejos, e coloco itens nela, o mínimo que poderia ser feito é receber uma notificação do aplicativo, ou até mesmo via e-mail, que o produto baixou. Em grandes saldões, a opção de ver as ofertas relâmpago que 3srou acompanhando simplesmente buga, por favor, revejam isso.",3
"Os vendedores, não estão disponíveis online no aplicativo, geralmente demoram atender,eles geralmente não conhecem o que estão vendendo,os entregadores geralmente entregam as mercadorias em pontos de comércios da rota de entregas,em mercearias, bares, padaria,etc... Para devoção o código de devolução para os correios é rápido!Porém para devolver o dinheiro demora em média 30 dias.Os preços estão acelerando gradativamente,as lojas se sentem lesada pela Shopee, e por isto aumenta o valor.",2
"O app é muito bom. Os produtos são de qualidade. O serviço é bem definido e objetivo. Mas referente às formas de pagamento, percebi a falta do pagamento misto (por exemplo: poder pagar determinado valor em pix e o restante ser parcelado ou descontado na fatura do cartão de crédito, ou no boleto). Isso seria muito propício, facilitando na decisão de finalizar a compra ou não.",4
"Odiei a última compra, o produto demorou várias dias para serem processados e depois chegou mensagem que não tinha mais um dos produtos, queria trocar mais a opção de troca só aparece um item ridículo e não quero, e como os outros produtos não são exatamente o mesmo valor não consigo trocar, sendo que poderia ter a opção de pagar a diferença. Queria pedir o reembolso do produto que não tem e também não tem essa opção, a menos que eu cancele a compra toda.",1
"A Amazon sem dúvida tem qualidades boas. O meu inferno é pagar! tinha 5 cartões registrados todos com limites ...toda compa que fazia era negada em qualquer um deles SEMPRE... no final cansada eu pagava com pix. e acho estranho recusar todas as compras!mas o debito o Amazon Prime entra! hoje fui lá e cancelei todos, só deixei um. e pra variar paguei a compra que fiz ontem no pix porque recusaram mais uma vez! além de não permitir parcelamento no cartão sabe-se lá porque!",2
"A experiência de compra na Shopee deixou muito a desejar. O prazo de entrega foi ultrapassado, e, para piorar, o entregador marcou o produto como entregue, mas ele nunca chegou até mim. Isso é inaceitável e gera muita frustração. A plataforma precisa melhorar a logística e o suporte ao cliente para resolver situações como essa de forma mais eficiente.",1
"App ruim o status da entrega sempre desatualizado e não é real , aparece informações duplicadas como se o pacote fosse e voltasse para mesmo lugar. A logística informa que o produto está a caminho , o mesmo após 3 dias nem sinal dele kkkk , aí então diz no app não ter localizado endereço sendo que já faço compras a anos e produtos são entregues sempre no mesmo endereço. A falha na logística e absurda é o app faz parceria a essa incompetência. Por isso a solução mais rápida e mercado livre .",2
"A Amazon é maravilhosa, uma das melhores lojas online atualmente. Mas o app precisa melhorar um pouco, principalmente nas opções de buscas e filtros. Quando faz a pesquisa, ao colocar na opção para ver por menor preço, vários produtos somem da pesquisa. Para achar os produtos, tem que pesquisar manualmente e tentar achar o menor preço. A loja de e-books também precisa de mais filtros, como livros em português ou outra língua e também a opção de filtrar os livros que eu já adquiri ou comprei.",2
